order,rep_id,prompt,transcript,audio_link,duration_s,headline,coach_focus,clarity_band,structure_band,conciseness_band,thinking_band,pacing_band,tone_band,headline_accurate,coach_focus_right_lever,hallucinated_claim,notes
1,e19b6f35-a2da-440f-a3df-1849631c9c49,Name something that's broken about how friends stay in touch and pitch a fix.,"Staying in touch with long distance friends is tough because you can fall out of touch with those people through time passing, and it's it sucks because you really like that person, but you never get to see them or talk to them, so you ultimately fall out of touch. However, I believe that if we can just set a time to meet once per month, per quarter, per year, and have that cadence set, then we will not fall out of touch, and we can talk about our lives and share about our experiences. And what do you think?",,46.9,"Your transitions improved, but the opening and closing need clarity.","The response lacks a clear opening and closing, making it hard to follow. A clear opening sets the stage, and a strong closing reinforces the main point, making the argument more memorable. Start with a clear statement of the problem and end with a concise summary or call to action.",,,,,,,,,,
2,fac13a12-fec3-4138-a041-354d8a6a3b5a,Should you stay friends with people you've outgrown?,"I believe you should stay friends with people you've outgrown, and I believe it's wise to maintain those friendships and avoid burning bridges as those connections might be valuable in the future. For example, say I am applying for a new job and the person interviewing me is someone that I burned a bridge with a long time ago. Now when they when I'm trying to, you know, actually interview and get the position, I will probably not get it because I burned that bridge. So always keep people in your in your network. Don't don't not become friends with them because, ultimately, you may be in a situation like that.",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/172be75d-5a22-4064-80d9-4bfe48194eb3/a22fe937-d176-4b16-aff5-ffe513bc6233.mp4?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy8xNzJiZTc1ZC01YTIyLTQwNjQtODBkOS00YmZlNDgxOTRlYjMvYTIyZmU5MzctZDE3Ni00YjE2LWFmZjUtZmZlNTEzYmM2MjMzLm1wNCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODc5Mjc3NDksImV4cCI6MTc4ODUzMjU0OX0.hKOciik3jhqQW934WGyeMD502il7TAcnNbxwBJOz_2g,48.7,Your reasoning remains surface-level; add depth with examples and counterarguments.,"The response lacks depth and does not engage with counterarguments. Engaging with counterarguments and providing examples enriches the reasoning, making the argument more persuasive. Incorporate specific examples and consider alternative perspectives to deepen your reasoning.",,,,,,,,,,
3,f70f0c5a-afc3-4853-a381-ea81eee5ddaf,What makes someone a good listener?,"What makes someone a good listener boils down to three things. First is eye contact. A good listener always is looking at their speaker in the eyes to show that they are paying attention. Second is the listener should not be thinking about anything else other than what the words are coming out of the speaker's mouth. Third is the listener needs to follow-up with some good questions to keep the person talking. And if a person can do all of those three things, then they will be a good listener. That's good.",,48,,,,,,,,,,,,
4,7b62c3d9-6258-4d5e-b7a5-53fbe4e2d43a,Tell a younger sibling what you wish you'd learned earlier in life.,"Figure out. I like, we we honestly, we don't really need his approval. We could just go forward with these goals and Yeah. We can just ask you. I I think I think are we we collectively agreeing that that that is, like, a a beta testing environment just, you know, I think that would just be, like, a a path that makes sense to go. Think for yeah. And I think you even start with, like you start with one class. Yeah. It doesn't even Yeah. Yeah. Back up there. You just start with one class. Yeah. I feel like yeah. Like, if we if we blow the like, blow our whole load on, you know, like, the top decision maker, That like, we shouldn't we shouldn't do that. We should probably go to, like, a specific, like like, what was it? Like, business presentations. You know what I'm saying? Like, business presentations professor who, like, teaches, like because there's a specific class for, like, presenting at IU. So if we find one of these teachers who's, like, lower stakes, you know, and, like, we get we can kinda get some initial feedback from, like, professors' regard before we go up to the, you know, top key decision maker and pitch the product. Because, like, if we're, you know, 75, 80% buttoned up to where we'd like to be in front of a key decision maker, like purchasing a procurement selector, like, we wanna kinda put our, know, toe in the pool first with, a business presentation teacher or somebody lower, maybe an English writing teacher or communication teacher or something like that and get some feedback from their perspective and, like, maybe some advice from them on how they would approach this key decision maker, who like, maybe get their opinion on who's really driving the decisions, what how does the overall Indiana budget look like, how how do we fit in, What what is what are they seeing in their class functions? Where where are students falling behind, going ahead, etcetera, like that? You know, getting getting a little more, like, inside detail, a little more context. So when we do stand in front of the key decision maker, like, we've armed with, hey. We've talked to 15 teachers. We've talked with x y z people. We've identified this as a common error that your teachers are stealing their students. Here's our value proposition. Here's how we can fit in. And then, like, just coming with them with, like, a, you know, really buttoned up plan. Make it easy for them to say yes. Right? Make it easy. Awesome. That's awesome, Moe.",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/f9a78ff2-0c55-4923-a766-4cf732706eda/edee24db-530e-4c73-a935-b7e69dcb123a.mp4?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy9mOWE3OGZmMi0wYzU1LTQ5MjMtYTc2Ni00Y2Y3MzI3MDZlZGEvZWRlZTI0ZGItNTMwZS00YzczLWE5MzUtYjdlNjlkY2IxMjNhLm1wNCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODc5Mjc3NDksImV4cCI6MTc4ODUzMjU0OX0.JP4bt04XgYeJP2ezjjtu3ueyfgOzZGFKDxPD4tzOSO4,114,"Your response lacks clarity and structure, making it hard to follow.",The response is filled with unresolved pronouns and vague references. Unresolved pronouns and vague references make it difficult for the listener to follow the argument. Clarify who 'they' and 'it' refer to and use specific nouns.,,,,,,,,,,
5,2e31836b-3463-4bd8-b71b-262e3877f6b1,Why do small choices end up mattering more than big ones?,"And then in terms of action steps, are you guys clear on what you need to be doing, Anthony and Paul? Yeah. Yeah. Can you can you guys just listen real quick? I'm good on Prompts prompts and exercise refinement, and some, legal and agreement drafting. Get over me. I'll review as well and send it over to my mom. List of 10 people for beta testing, and then getting a little more concrete on the GTM strategy, specific people at IU we wanna reach out to, how we're gonna reach out to them, how we're gonna phrase up the product, and having them test it. Is that is that that's covering in the pricing later with Max? Yeah. Yeah. Exactly. Gotcha. K. And then Anthony. Oh, wait. Anthony? I'm mine. I mean, old old son of mine. Yeah. Yeah. Okay. And then Owen keeps using the products. Keep pushing it out to his friends.",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/f9a78ff2-0c55-4923-a766-4cf732706eda/ad69be58-bae2-4407-ac36-ca35df258696.mp4?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy9mOWE3OGZmMi0wYzU1LTQ5MjMtYTc2Ni00Y2Y3MzI3MDZlZGEvYWQ2OWJlNTgtYmFlMi00NDA3LWFjMzYtY2EzNWRmMjU4Njk2Lm1wNCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODc5Mjc3NDksImV4cCI6MTc4ODUzMjU0OX0.Ceks52GVn5zXWDvArqF-8f1BxXxxa1N2PEcDJmRn4wQ,49.3,"Your response lacks clarity and structure, making it hard to follow.","Unresolved pronouns and unclear references make the response hard to follow. Clear references help the listener understand who or what you are talking about, improving comprehension. Clarify pronouns and references to ensure the listener knows exactly who or what you are discussing.",,,,,,,,,,
6,76f3f723-1ef0-49aa-b5ad-ee1bc1c1eac5,What separates a good teammate from a great one?,"A good teammate is somebody who puts in their fair share of work, but not only does the work that's asked of them, but tries to make the effort to take more off the plate of their teammates and does their work fully and consistently every single time when the task is needed of them. The reason you would want a good teammate is somebody is because it makes the overall project dynamic better. It makes the people that you're working with understand that you're not only in it for the ride, but you're also providing value along the way. Somebody who's a good teammate is also somebody who you can relay ideas off of to get the best finishing working product possible. If somebody was a bad teammate, they're either not putting in their fair share, not putting in their best foot forward, and not acting as a resource to their other teammates.",,69.1,Clarify your main point early to improve listener understanding.,"Your ideas are dense and sometimes hard to follow. Dense ideas can confuse listeners, making it difficult for them to grasp your main point. Simplify sentences and clarify your main point early.",,,,,,,,,,
7,575b26e8-1d8b-4de9-b1f6-c6d67d7cb0f1,What's the best decision you've ever made?,"Together. We've been to Hawaii together, and it's like life The best I decision that I ever made was going into sales. So much. Going to sales taught me how to be client facing and how to deal with rebuttals, and that has carried me through to Yeah. Today. And any anytime that I'm talking to somebody, I use the skills that I acquired within sales. And the reason also why I really enjoy is because I'm able to kind of combine everything that I've learned throughout life through college and my upbringing to use my social connections and get closer to people. It's really been able to open my mind up to or anything like little do these people know. What people are interested in hearing when they're trying to buy from somebody and being able to tie myself into those Yeah. Yeah. Similarities to time coming along I've experienced when I'm talking to them. That are just",,63.3,"Your response lacks clarity and structure, making it hard to follow.",Vague language and unresolved pronouns obscure your main point. Clear communication ensures the listener understands your decision and its impact without confusion. Use specific examples and resolve pronouns to clarify your decision and its benefits.,,,,,,,,,,
8,be60386d-f71b-4ba5-b4b4-dcbd566e100f,Move your team at work to schedule walking meetings.,"Hey, everyone. I had an idea that we should take walking meetings instead of face to face lunch meetings or conference room meetings. Number one, we know that walking is good for you. Everybody wants to increase their step count. Everyone wants to get some time in the sun, get out of the office. Number two, walking gets the mind turning. Even walking by yourself, thinking through ideas is better than, you know, sitting at a desk and and staring at the wall. Right? Walking gets the mind turning. There's also, thirdly, evidence that people facing the same direction during a conversation helps the ideas and the creativity and the flow of that conversation instead of people looking at each other where they focus more on nonverbal cues and can see clearly the interpretation of the other person, which might not always be best when you're in a creative pursuit or in a brainstorming pursuit. So so visualize this. Imagine being outside instead of in the conference room, and imagine, you know, being in the sun and and talking through these ideas together. I think that would be best for our team.",,88.6,Your structure needs clearer signposting to guide the listener.,"Lacks clear transitions between points, making the argument hard to follow. Clear transitions help the listener follow your argument and understand the main points. Use explicit signposts like 'first', 'second', 'finally' to guide the listener through your points.",,,,,,,,,,
9,d0cc7b6b-d0c7-4c96-b115-7a59537a331d,Argue that handwritten letters are still worth sending.,"Some people argue that handwritten letters are no longer worth sending in the sense that communication is so quick now and so easy that a text, a phone call, an email is much more efficient. Now, I would strongly argue against that because the sense that they're no longer useful actually enhances their utility in the sense that sending a letter indicates to somebody that you want to put in the effort. You want to do the thing that no one else wants to do and therefore makes them more meaningful. So while I agree that they're no longer useful in a pure informative sense, they're very useful in an emotive sense. If you're trying to communicate to somebody that you care, a handwritten letter, there's really nothing like it. Now imagine if you got a handwritten letter from somebody that you love. Even opening it, let alone reading it, feels very impactful.",,74.2,Strengthen your argument by clarifying abstract phrases and enhancing structure.,"The response starts without a clear opening, leading to a disjointed argument. A strong opening sets the direction and helps the listener follow your argument more easily. Begin with a clear statement of your main point to guide the listener from the start.",,,,,,,,,,
10,9468b1e2-d5ac-42e4-9179-cb48a44b496d,What's the one thing you wish your parents had taught you?,"Something I wish my parents had taught me is financial independence and as a concept and why it's important to attempt to achieve it in your life. Financial independence is very important because in our modern world, it is the basis of resource dependence or resource independence rather and is the foundation of a holistic life, not a happy life necessarily as the famous saying money can't buy happiness goes, but I wish that I had learned to strive for financial independence. Because you realize that money is everything in the world, again, not in the terms of happiness, but in the terms of convenience, safety, things that kind of form the foundation of a life that you can actualize. Or, you know, once your needs are met, you can try to achieve higher things with yourself.",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/f7c21f08-5ec7-4a66-9fd3-26674a53133a/02074b25-8555-4e34-aa97-308ebe2af089.webm?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy9mN2MyMWYwOC01ZWM3LTRhNjYtOWZkMy0yNjY3NGE1MzEzM2EvMDIwNzRiMjUtODU1NS00ZTM0LWFhOTctMzA4ZWJlMmFmMDg5LndlYm0iLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3OTI3NzQ5LCJleHAiOjE3ODg1MzI1NDl9.hZ8K2o1rPa59fqiEaNdSUPVFgO_fZvnlOiOJj4Z9Fb8,79.5,Your clarity suffers from abstract language and unresolved pronouns.,The response uses abstract language and unresolved pronouns. This makes it difficult for the listener to follow and understand the main point. Use concrete language and resolve pronouns to clarify your message.,,,,,,,,,,
